cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
44,RU,1553563995,96,96,159.24,270.487,7.61
20,BB,1553562000,73,73,-59.52,298.15,11.3
20,UG,1553563996,93,93,33.93,287.137,0.86
0,MG,1553563996,100,100,47.83,297.387,1.11
75,BY,1553562000,89,89,27.56,273.15,4.0
1,US,1553563852,52,52,-106.31,281.48,5.7
0,FR,1553563926,80,80,-1.88,276.48,2.6
92,TM,1553562000,81,81,59.39,283.15,6.2
75,IS,1553563782,93,93,-22.43,279.26,13.9
20,CA,1553563997,88,88,-116.48,276.487,1.31
90,CA,1553563945,92,92,-52.73,273.71,9.3
20,JP,1553563805,47,47,135.8,288.15,1.5
0,MR,1553563998,59,59,-13.05,286.137,2.51
0,BR,1553562000,88,88,-35.74,297.15,2.1
90,FR,1553563833,82,82,6.97,287.04,1.5
90,US,1553563342,76,76,-122.67,283.71,3.1
0,RU,1553563999,88,88,58.8,270.387,5.06
90,US,1553563997,81,81,-93.29,282.59,2.6
0,SO,1553564000,83,83,43.89,294.587,3.86
0,CN,1553563971,91,91,122.78,282.04,1.79
76,RU,1553564001,88,88,158.67,267.787,6.56
88,RU,1553564001,89,89,56.91,273.087,6.31
48,RU,1553564001,62,62,112.57,263.937,2.11
92,BR,1553563871,99,99,-41.86,292.837,1.51
12,AR,1553563745,86,86,-65.04,287.538,5.31
75,MX,1553563695,43,43,-109.05,296.15,5.7
90,AU,1553563842,55,55,137.76,292.59,2.1
0,DZ,1553563398,77,77,4.2,285.93,0.96
76,ID,1553564003,76,76,115.51,301.737,1.41
75,TO,1553562000,88,88,-173.98,299.15,3.6
75,EC,1553563852,93,93,-78.55,288.15,4.1
68,IN,1553563777,100,100,78.62,277.438,0.61
0,RU,1553564004,84,84,107.35,267.737,1.51
40,ID,1553558400,88,88,114.85,299.15,2.1
76,TZ,1553564005,98,98,32.06,290.487,1.36
92,BR,1553564005,96,96,-44.97,294.387,1.76
0,GB,1553563989,99,99,-1.5,277.15,1.0
80,DE,1553564001,81,81,11.33,275.37,2.86
0,MZ,1553564006,90,90,35.26,292.087,1.16
1,US,1553564000,56,56,-81.24,294.26,3.56
0,ES,1553563744,37,37,-6.97,286.48,2.68
0,CA,1553563891,57,57,-81.71,273.71,1.79
